key	en_us	non_is	note
options.graphics	Graphics	Graphics	review needed
options.graphics.custom	options.graphics.custom	options.graphics.custom	review needed
options.graphics.fabulous	Fabulous!	Fabulous!	review needed
options.graphics.fabulous.tooltip	"%s graphics uses screen shaders for drawing weather, clouds, and particles behind translucent blocks and water.
This may severely impact performance for portable devices and 4K displays."	"%s graphics uses screen shaders for drawing weather, clouds, and particles behind translucent blocks and water.
This may severely impact performance for portable devices and 4K displays."	review needed
options.graphics.fancy	Fancy	Fancy	review needed
options.graphics.fancy.tooltip	"Fancy graphics balances performance and quality for the majority of machines.
Weather, clouds, and particles may not appear behind translucent blocks or water."	"Fancy graphics balances performance and quality for the majority of machines.
Weather, clouds, and particles may not appear behind translucent blocks or water."	review needed
options.graphics.fast	Fast	Fast	review needed
options.graphics.fast.tooltip	"Fast graphics reduces the amount of visible rain and snow.
Transparency effects are disabled for various blocks such as leaves."	"Fast graphics reduces the amount of visible rain and snow.
Transparency effects are disabled for various blocks such as leaves."	review needed
options.graphics.preset	options.graphics.preset	options.graphics.preset	review needed
options.graphics.preset.tooltip	options.graphics.preset.tooltip	options.graphics.preset.tooltip	review needed
options.graphics.warning.accept	Continue Without Support	Continue Without Support	review needed
options.graphics.warning.cancel	Take Me Back	Take Me Back	review needed
options.graphics.warning.message	"Your graphics device is detected as unsupported for the %s graphics option.

You may ignore this and continue, however support will not be provided for your device if you choose to use %s graphics."	"Your graphics device is detected as unsupported for the %s graphics option.

You may ignore this and continue, however support will not be provided for your device if you choose to use %s graphics."	review needed
options.graphics.warning.renderer	Renderer detected: [%s]	Renderer detected: [%s]	review needed
options.graphics.warning.title	Graphics Device Unsupported	Graphics Device Unsupported	review needed
options.graphics.warning.vendor	Vendor detected: [%s]	Vendor detected: [%s]	review needed
options.graphics.warning.version	OpenGL Version detected: [%s]	OpenGL Version detected: [%s]	review needed
options.graphicsApi	options.graphicsApi	options.graphicsApi	review needed
options.graphicsApi.default	options.graphicsApi.default	options.graphicsApi.default	review needed
options.graphicsApi.opengl	options.graphicsApi.opengl	options.graphicsApi.opengl	review needed
options.graphicsApi.restart	options.graphicsApi.restart	options.graphicsApi.restart	review needed
options.graphicsApi.tooltip	options.graphicsApi.tooltip	options.graphicsApi.tooltip	review needed
options.graphicsApi.vulkan	options.graphicsApi.vulkan	options.graphicsApi.vulkan	review needed
options.guiScale	GUI Scale	GUI Scale	review needed
options.guiScale.auto	Auto	Auto	review needed
options.hidden	Hidden	Hidden	review needed
options.hideLightningFlashes	Hide Lightning Flashes	Hide Lightning Flashes	review needed
options.hideLightningFlashes.tooltip	Prevents Lightning Bolts from making the sky flash. The bolts themselves will still be visible.	Prevents Lightning Bolts from making the sky flash. The bolts themselves will still be visible.	review needed
options.hideMatchedNames	Hide Matched Names	Hide Matched Names	review needed
options.hideMatchedNames.tooltip	"3rd-party Servers may send chat messages in non-standard formats.
With this option on, hidden players will be matched based on chat sender names."	"3rd-party Servers may send chat messages in non-standard formats.
With this option on, hidden players will be matched based on chat sender names."	review needed
options.hideSplashTexts	options.hideSplashTexts	options.hideSplashTexts	review needed
options.hideSplashTexts.tooltip	options.hideSplashTexts.tooltip	options.hideSplashTexts.tooltip	review needed
options.improvedTransparency	options.improvedTransparency	options.improvedTransparency	review needed
options.improvedTransparency.tooltip	options.improvedTransparency.tooltip	options.improvedTransparency.tooltip	review needed
options.inactivityFpsLimit	options.inactivityFpsLimit	options.inactivityFpsLimit	review needed
options.inactivityFpsLimit.afk	options.inactivityFpsLimit.afk	options.inactivityFpsLimit.afk	review needed
options.inactivityFpsLimit.afk.tooltip	options.inactivityFpsLimit.afk.tooltip	options.inactivityFpsLimit.afk.tooltip	review needed
options.inactivityFpsLimit.minimized	options.inactivityFpsLimit.minimized	options.inactivityFpsLimit.minimized	review needed
options.inactivityFpsLimit.minimized.tooltip	options.inactivityFpsLimit.minimized.tooltip	options.inactivityFpsLimit.minimized.tooltip	review needed
options.invertMouse	Invert Mouse	Invert Mouse	review needed
options.invertMouseX	options.invertMouseX	options.invertMouseX	review needed
options.invertMouseY	options.invertMouseY	options.invertMouseY	review needed
options.japaneseGlyphVariants	options.japaneseGlyphVariants	options.japaneseGlyphVariants	review needed
options.japaneseGlyphVariants.tooltip	options.japaneseGlyphVariants.tooltip	options.japaneseGlyphVariants.tooltip	review needed
options.key.hold	Hold	Hold	review needed
options.key.toggle	Toggle	Toggle	review needed
options.mainHand	Main Hand	Main Hand	review needed
options.mainHand.left	Left	Left	review needed
options.mainHand.right	Right	Right	review needed
options.maxAnisotropy	options.maxAnisotropy	options.maxAnisotropy	review needed
options.maxAnisotropy.tooltip	options.maxAnisotropy.tooltip	options.maxAnisotropy.tooltip	review needed
options.mipmapLevels	Mipmap Levels	Mipmap Levels	review needed
options.modelPart.cape	Cape	Cape	review needed
options.modelPart.hat	Hat	Hat	review needed
options.modelPart.jacket	Jacket	Jacket	review needed
options.modelPart.left_pants_leg	Left Pants Leg	Left Pants Leg	review needed
options.modelPart.left_sleeve	Left Sleeve	Left Sleeve	review needed
options.modelPart.right_pants_leg	Right Pants Leg	Right Pants Leg	review needed
options.modelPart.right_sleeve	Right Sleeve	Right Sleeve	review needed
options.mouseWheelSensitivity	Scroll Sensitivity	Scroll Sensitivity	review needed
options.mouse_settings	Mouse Settings...	Mouse Settings...	review needed
options.mouse_settings.title	Mouse Settings	Mouse Settings	review needed
options.multiplayer.title	Multiplayer Settings...	Multiplayer Settings...	review needed
options.multiplier	%sx	%sx	review needed
options.musicToast	options.musicToast	options.musicToast	review needed
options.musicToast.never	options.musicToast.never	options.musicToast.never	review needed
options.musicToast.never.tooltip	options.musicToast.never.tooltip	options.musicToast.never.tooltip	review needed
options.musicToast.pauseMenu	options.musicToast.pauseMenu	options.musicToast.pauseMenu	review needed
options.musicToast.pauseMenu.tooltip	options.musicToast.pauseMenu.tooltip	options.musicToast.pauseMenu.tooltip	review needed
options.musicToast.pauseMenuAndToast	options.musicToast.pauseMenuAndToast	options.musicToast.pauseMenuAndToast	review needed
options.musicToast.pauseMenuAndToast.tooltip	options.musicToast.pauseMenuAndToast.tooltip	options.musicToast.pauseMenuAndToast.tooltip	review needed
options.music_frequency	options.music_frequency	options.music_frequency	review needed
options.music_frequency.constant	options.music_frequency.constant	options.music_frequency.constant	review needed
options.music_frequency.default	options.music_frequency.default	options.music_frequency.default	review needed
options.music_frequency.frequent	options.music_frequency.frequent	options.music_frequency.frequent	review needed
options.music_frequency.tooltip	options.music_frequency.tooltip	options.music_frequency.tooltip	review needed
options.narrator	Narrator	Narrator	review needed
options.narrator.all	Narrates All	Narrates All	review needed
options.narrator.chat	Narrates Chat	Narrates Chat	review needed
options.narrator.notavailable	Not Available	Not Available	review needed
options.narrator.off	OFF	OFF	review needed
options.narrator.system	Narrates System	Narrates System	review needed
options.needsRestart	options.needsRestart	options.needsRestart	review needed
options.notifications.display_time	Notification Time	Notification Time	review needed
options.notifications.display_time.tooltip	Affects the length of time that all notifications stay visible on the screen.	Affects the length of time that all notifications stay visible on the screen.	review needed
options.off	OFF	OFF	review needed
options.off.composed	%s: OFF	%s: OFF	review needed
options.on	ON	ON	review needed
options.on.composed	%s: ON	%s: ON	review needed
options.online	Online...	Online...	review needed
options.online.title	Online Options	Online Options	review needed
options.onlyShowSecureChat	Only Show Secure Chat	Only Show Secure Chat	review needed
options.onlyShowSecureChat.tooltip	Only display messages from other players that can be verified to have been sent by that player, and have not been modified.	Only display messages from other players that can be verified to have been sent by that player, and have not been modified.	review needed
options.operatorItemsTab	Operator Items Tab	Operator Items Tab	review needed
options.particles	Particles	Particles	review needed
options.particles.all	All	All	review needed
options.particles.decreased	Decreased	Decreased	review needed
options.particles.minimal	Minimal	Minimal	review needed
options.percent_add_value	%s: +%s%%	%s: +%s%%	review needed
options.percent_value	%s: %s%%	%s: %s%%	review needed
options.pixel_value	%s: %spx	%s: %spx	review needed
options.prioritizeChunkUpdates	Chunk Builder	Chunk Builder	review needed
options.prioritizeChunkUpdates.byPlayer	Semi Blocking	Semi Blocking	review needed
options.prioritizeChunkUpdates.byPlayer.tooltip	Some actions within a chunk will recompile the chunk immediately. This includes block placing & destroying.	Some actions within a chunk will recompile the chunk immediately. This includes block placing & destroying.	review needed
options.prioritizeChunkUpdates.nearby	Fully Blocking	Fully Blocking	review needed
options.prioritizeChunkUpdates.nearby.tooltip	Nearby chunks are always compiled immediately. This may impact game performance when blocks are placed or destroyed.	Nearby chunks are always compiled immediately. This may impact game performance when blocks are placed or destroyed.	review needed
options.prioritizeChunkUpdates.none	Threaded	Threaded	review needed
options.prioritizeChunkUpdates.none.tooltip	Nearby chunks are compiled in parallel threads. This may result in brief visual holes when blocks are destroyed.	Nearby chunks are compiled in parallel threads. This may result in brief visual holes when blocks are destroyed.	review needed
options.rawMouseInput	Raw Input	Raw Input	review needed
options.realmsNotifications	Realms News & Invites	Realms News & Invites	review needed
options.realmsNotifications.tooltip	options.realmsNotifications.tooltip	options.realmsNotifications.tooltip	review needed
options.reducedDebugInfo	Reduced Debug Info	Reduced Debug Info	review needed
options.renderClouds	Clouds	Clouds	review needed
options.renderCloudsDistance	options.renderCloudsDistance	options.renderCloudsDistance	review needed
options.renderDistance	Render Distance	Render Distance	review needed
options.resourcepack	Resource Packs...	Resource Packs...	review needed
options.rotateWithMinecart	options.rotateWithMinecart	options.rotateWithMinecart	review needed
options.rotateWithMinecart.tooltip	options.rotateWithMinecart.tooltip	options.rotateWithMinecart.tooltip	review needed
options.screenEffectScale	Distortion Effects	Distortion Effects	review needed
options.screenEffectScale.tooltip	"Strength of nausea and Nether portal screen distortion effects.
At lower values, the nausea effect is replaced with a green overlay."	"Strength of nausea and Nether portal screen distortion effects.
At lower values, the nausea effect is replaced with a green overlay."	review needed
options.sensitivity	Sensitivity	Sensitivity	review needed
options.sensitivity.max	HYPERSPEED!!!	HYPERSPEED!!!	review needed
options.sensitivity.min	*yawn*	*yawn*	review needed
options.showNowPlayingToast	options.showNowPlayingToast	options.showNowPlayingToast	review needed
options.showNowPlayingToast.tooltip	options.showNowPlayingToast.tooltip	options.showNowPlayingToast.tooltip	review needed
options.showSubtitles	Show Subtitles	Show Subtitles	review needed
options.showSubtitles.tooltip	options.showSubtitles.tooltip	options.showSubtitles.tooltip	review needed
options.simulationDistance	Simulation Distance	Simulation Distance	review needed
options.skinCustomisation	Skin Customization...	Skin Customization...	review needed
options.skinCustomisation.title	Skin Customization	Skin Customization	review needed
options.sounds.title	Music & Sound Options	Music & Sound Options	review needed
options.sprintWindow	options.sprintWindow	options.sprintWindow	review needed
options.sprintWindow.tooltip	options.sprintWindow.tooltip	options.sprintWindow.tooltip	review needed
options.telemetry	Telemetry Data...	Telemetry Data...	review needed
options.telemetry.button	Data Collection	Data Collection	review needed
options.telemetry.button.tooltip	"""%s"" includes only the required data.
""%s"" includes optional, as well as the required data."	"""%s"" includes only the required data.
""%s"" includes optional, as well as the required data."	review needed
options.telemetry.disabled	options.telemetry.disabled	options.telemetry.disabled	review needed
options.telemetry.state.all	All	All	review needed
options.telemetry.state.minimal	Minimal	Minimal	review needed
options.telemetry.state.none	None	None	review needed
options.textureFiltering	options.textureFiltering	options.textureFiltering	review needed
options.textureFiltering.anisotropic	options.textureFiltering.anisotropic	options.textureFiltering.anisotropic	review needed
options.textureFiltering.anisotropic.tooltip	options.textureFiltering.anisotropic.tooltip	options.textureFiltering.anisotropic.tooltip	review needed
options.textureFiltering.none	options.textureFiltering.none	options.textureFiltering.none	review needed
options.textureFiltering.none.tooltip	options.textureFiltering.none.tooltip	options.textureFiltering.none.tooltip	review needed
options.textureFiltering.rgss	options.textureFiltering.rgss	options.textureFiltering.rgss	review needed
options.textureFiltering.rgss.tooltip	options.textureFiltering.rgss.tooltip	options.textureFiltering.rgss.tooltip	review needed
options.touchscreen	Touchscreen Mode	Touchscreen Mode	review needed
options.value	options.value	options.value	review needed
options.video.display.header	options.video.display.header	options.video.display.header	review needed
options.video.interface.header	options.video.interface.header	options.video.interface.header	review needed
options.video.preferences.header	options.video.preferences.header	options.video.preferences.header	review needed
options.video.quality.header	options.video.quality.header	options.video.quality.header	review needed
options.videoTitle	Video Settings	Video Settings	review needed
options.viewBobbing	View Bobbing	View Bobbing	review needed
options.vignette	options.vignette	options.vignette	review needed
options.vignette.tooltip	options.vignette.tooltip	options.vignette.tooltip	review needed
options.visible	Shown	Shown	review needed
options.vsync	VSync	VSync	review needed
options.weatherRadius	options.weatherRadius	options.weatherRadius	review needed
options.weatherRadius.tooltip	options.weatherRadius.tooltip	options.weatherRadius.tooltip	review needed
options.worldOptions.button	options.worldOptions.button	options.worldOptions.button	review needed
options.worldOptions.title	options.worldOptions.title	options.worldOptions.title	review needed
outOfMemory.message	"Minecraft has run out of memory.

This could be caused by a bug in the game or by the Java Virtual Machine not being allocated enough memory.

To prevent level corruption, the current game has quit. We've tried to free up enough memory to let you go back to the main menu and back to playing, but this may not have worked.

Please restart the game if you see this message again."	"Minecraft has run out of memory.

This could be caused by a bug in the game or by the Java Virtual Machine not being allocated enough memory.

To prevent level corruption, the current game has quit. We've tried to free up enough memory to let you go back to the main menu and back to playing, but this may not have worked.

Please restart the game if you see this message again."	review needed
outOfMemory.title	Out of memory!	Out of memory!	review needed
pack.available.title	Available	Available	review needed
pack.copyFailure	Failed to copy packs	Failed to copy packs	review needed
pack.dropConfirm	Do you want to add the following packs to Minecraft?	Do you want to add the following packs to Minecraft?	review needed
pack.dropInfo	Drag and drop files into this window to add packs	Drag and drop files into this window to add packs	review needed
pack.dropRejected.message	pack.dropRejected.message	pack.dropRejected.message	review needed
pack.dropRejected.title	pack.dropRejected.title	pack.dropRejected.title	review needed
pack.folderInfo	(Place pack files here)	(Place pack files here)	review needed
pack.incompatible	Incompatible	Incompatible	review needed
pack.incompatible.confirm.new	This pack was made for a newer version of Minecraft and may not work correctly.	This pack was made for a newer version of Minecraft and may not work correctly.	review needed
pack.incompatible.confirm.old	This pack was made for an older version of Minecraft and may no longer work correctly.	This pack was made for an older version of Minecraft and may no longer work correctly.	review needed
pack.incompatible.confirm.title	Are you sure you want to load this pack?	Are you sure you want to load this pack?	review needed
pack.incompatible.confirm.unknown	pack.incompatible.confirm.unknown	pack.incompatible.confirm.unknown	review needed
pack.incompatible.new	(Made for a newer version of Minecraft)	(Made for a newer version of Minecraft)	review needed
pack.incompatible.old	(Made for an older version of Minecraft)	(Made for an older version of Minecraft)	review needed
pack.incompatible.unknown	pack.incompatible.unknown	pack.incompatible.unknown	review needed
pack.nameAndSource	%s (%s)	%s (%s)	review needed
pack.openFolder	Open Pack Folder	Open Pack Folder	review needed
pack.selected.title	Selected	Selected	review needed
pack.source.builtin	built-in	built-in	review needed
pack.source.feature	feature	feature	review needed
pack.source.local	local	local	review needed
pack.source.server	server	server	review needed
pack.source.world	world	world	review needed
painting.dimensions	%sx%s	%sx%s	review needed
painting.minecraft.alban.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.alban.title	Albanian	Albanian	review needed
painting.minecraft.aztec.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.aztec.title	de_aztec	de_aztec	review needed
painting.minecraft.aztec2.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.aztec2.title	de_aztec	de_aztec	review needed
painting.minecraft.backyard.author	painting.minecraft.backyard.author	painting.minecraft.backyard.author	review needed
painting.minecraft.backyard.title	painting.minecraft.backyard.title	painting.minecraft.backyard.title	review needed
painting.minecraft.baroque.author	painting.minecraft.baroque.author	painting.minecraft.baroque.author	review needed
painting.minecraft.baroque.title	painting.minecraft.baroque.title	painting.minecraft.baroque.title	review needed
painting.minecraft.bomb.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.bomb.title	Target Successfully Bombed	Target Successfully Bombed	review needed
painting.minecraft.bouquet.author	painting.minecraft.bouquet.author	painting.minecraft.bouquet.author	review needed
painting.minecraft.bouquet.title	painting.minecraft.bouquet.title	painting.minecraft.bouquet.title	review needed
painting.minecraft.burning_skull.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.burning_skull.title	Skull On Fire	Skull On Fire	review needed
painting.minecraft.bust.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.bust.title	Bust	Bust	review needed
painting.minecraft.cavebird.author	painting.minecraft.cavebird.author	painting.minecraft.cavebird.author	review needed
painting.minecraft.cavebird.title	painting.minecraft.cavebird.title	painting.minecraft.cavebird.title	review needed
painting.minecraft.changing.author	painting.minecraft.changing.author	painting.minecraft.changing.author	review needed
painting.minecraft.changing.title	painting.minecraft.changing.title	painting.minecraft.changing.title	review needed
painting.minecraft.cotan.author	painting.minecraft.cotan.author	painting.minecraft.cotan.author	review needed
painting.minecraft.cotan.title	painting.minecraft.cotan.title	painting.minecraft.cotan.title	review needed
painting.minecraft.courbet.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.courbet.title	Bonjour Monsieur Courbet	Bonjour Monsieur Courbet	review needed
painting.minecraft.creebet.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.creebet.title	Creebet	Creebet	review needed
painting.minecraft.dennis.author	painting.minecraft.dennis.author	painting.minecraft.dennis.author	review needed
painting.minecraft.dennis.title	painting.minecraft.dennis.title	painting.minecraft.dennis.title	review needed
painting.minecraft.donkey_kong.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.donkey_kong.title	Kong	Kong	review needed
painting.minecraft.earth.author	Mojang	Mojang	review needed
painting.minecraft.earth.title	Earth	Earth	review needed
painting.minecraft.endboss.author	painting.minecraft.endboss.author	painting.minecraft.endboss.author	review needed
painting.minecraft.endboss.title	painting.minecraft.endboss.title	painting.minecraft.endboss.title	review needed
painting.minecraft.fern.author	painting.minecraft.fern.author	painting.minecraft.fern.author	review needed
painting.minecraft.fern.title	painting.minecraft.fern.title	painting.minecraft.fern.title	review needed
painting.minecraft.fighters.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.fighters.title	Fighters	Fighters	review needed
painting.minecraft.finding.author	painting.minecraft.finding.author	painting.minecraft.finding.author	review needed
painting.minecraft.finding.title	painting.minecraft.finding.title	painting.minecraft.finding.title	review needed
painting.minecraft.fire.author	Mojang	Mojang	review needed
painting.minecraft.fire.title	Fire	Fire	review needed
painting.minecraft.graham.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.graham.title	Graham	Graham	review needed
painting.minecraft.humble.author	painting.minecraft.humble.author	painting.minecraft.humble.author	review needed
painting.minecraft.humble.title	painting.minecraft.humble.title	painting.minecraft.humble.title	review needed
painting.minecraft.kebab.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.kebab.title	Kebab med tre pepperoni	Kebab med tre pepperoni	review needed
painting.minecraft.lowmist.author	painting.minecraft.lowmist.author	painting.minecraft.lowmist.author	review needed
painting.minecraft.lowmist.title	painting.minecraft.lowmist.title	painting.minecraft.lowmist.title	review needed
painting.minecraft.match.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.match.title	Match	Match	review needed
painting.minecraft.meditative.author	painting.minecraft.meditative.author	painting.minecraft.meditative.author	review needed
painting.minecraft.meditative.title	painting.minecraft.meditative.title	painting.minecraft.meditative.title	review needed
painting.minecraft.orb.author	painting.minecraft.orb.author	painting.minecraft.orb.author	review needed
painting.minecraft.orb.title	painting.minecraft.orb.title	painting.minecraft.orb.title	review needed
painting.minecraft.owlemons.author	painting.minecraft.owlemons.author	painting.minecraft.owlemons.author	review needed
painting.minecraft.owlemons.title	painting.minecraft.owlemons.title	painting.minecraft.owlemons.title	review needed
painting.minecraft.passage.author	painting.minecraft.passage.author	painting.minecraft.passage.author	review needed
painting.minecraft.passage.title	painting.minecraft.passage.title	painting.minecraft.passage.title	review needed
painting.minecraft.pigscene.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.pigscene.title	Pigscene	Pigscene	review needed
painting.minecraft.plant.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.plant.title	Paradisträd	Paradisträd	review needed
painting.minecraft.pointer.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.pointer.title	Pointer	Pointer	review needed
painting.minecraft.pond.author	painting.minecraft.pond.author	painting.minecraft.pond.author	review needed
painting.minecraft.pond.title	painting.minecraft.pond.title	painting.minecraft.pond.title	review needed
painting.minecraft.pool.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.pool.title	The Pool	The Pool	review needed
painting.minecraft.prairie_ride.author	painting.minecraft.prairie_ride.author	painting.minecraft.prairie_ride.author	review needed
painting.minecraft.prairie_ride.title	painting.minecraft.prairie_ride.title	painting.minecraft.prairie_ride.title	review needed
painting.minecraft.sea.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.sea.title	Seaside	Seaside	review needed
painting.minecraft.skeleton.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.skeleton.title	Mortal Coil	Mortal Coil	review needed
painting.minecraft.skull_and_roses.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.skull_and_roses.title	Skull and Roses	Skull and Roses	review needed
painting.minecraft.stage.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.stage.title	The Stage Is Set	The Stage Is Set	review needed
painting.minecraft.sunflowers.author	painting.minecraft.sunflowers.author	painting.minecraft.sunflowers.author	review needed
painting.minecraft.sunflowers.title	painting.minecraft.sunflowers.title	painting.minecraft.sunflowers.title	review needed
painting.minecraft.sunset.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.sunset.title	sunset_dense	sunset_dense	review needed
painting.minecraft.tides.author	painting.minecraft.tides.author	painting.minecraft.tides.author	review needed
painting.minecraft.tides.title	painting.minecraft.tides.title	painting.minecraft.tides.title	review needed
painting.minecraft.unpacked.author	painting.minecraft.unpacked.author	painting.minecraft.unpacked.author	review needed
painting.minecraft.unpacked.title	painting.minecraft.unpacked.title	painting.minecraft.unpacked.title	review needed
painting.minecraft.void.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.void.title	The void	The void	review needed
painting.minecraft.wanderer.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.wanderer.title	Wanderer	Wanderer	review needed
painting.minecraft.wasteland.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
painting.minecraft.wasteland.title	Wasteland	Wasteland	review needed
painting.minecraft.water.author	Mojang	Mojang	review needed
painting.minecraft.water.title	Water	Water	review needed
painting.minecraft.wind.author	Mojang	Mojang	review needed
painting.minecraft.wind.title	Wind	Wind	review needed
painting.minecraft.wither.author	Mojang	Mojang	review needed
painting.minecraft.wither.title	Wither	Wither	review needed
painting.random	Random variant	Random variant	review needed
parsing.bool.expected	Expected boolean	Expected boolean	review needed
parsing.bool.invalid	Invalid boolean, expected 'true' or 'false' but found '%s'	Invalid boolean, expected 'true' or 'false' but found '%s'	review needed
parsing.double.expected	Expected double	Expected double	review needed
parsing.double.invalid	Invalid double '%s'	Invalid double '%s'	review needed
parsing.expected	Expected '%s'	Expected '%s'	review needed
parsing.float.expected	Expected float	Expected float	review needed
parsing.float.invalid	Invalid float '%s'	Invalid float '%s'	review needed
parsing.int.expected	Expected integer	Expected integer	review needed
parsing.int.invalid	Invalid integer '%s'	Invalid integer '%s'	review needed
parsing.long.expected	Expected long	Expected long	review needed
parsing.long.invalid	Invalid long '%s'	Invalid long '%s'	review needed
parsing.quote.escape	Invalid escape sequence '\%s' in quoted string	Invalid escape sequence '\%s' in quoted string	review needed
parsing.quote.expected.end	Unclosed quoted string	Unclosed quoted string	review needed
parsing.quote.expected.start	Expected quote to start a string	Expected quote to start a string	review needed
particle.invalidOptions	particle.invalidOptions	particle.invalidOptions	review needed
particle.notFound	Unknown particle: %s	Unknown particle: %s	review needed
permissions.requires.entity	An entity is required to run this command here	An entity is required to run this command here	review needed
permissions.requires.player	A player is required to run this command here	A player is required to run this command here	review needed
potion.potency.0	potion.potency.0	potion.potency.0	review needed
potion.potency.1	II	II	review needed
potion.potency.2	III	III	review needed
potion.potency.3	IV	IV	review needed
potion.potency.4	V	V	review needed
potion.potency.5	VI	VI	review needed
potion.whenDrank	When Applied:	When Applied:	review needed
potion.withAmplifier	%s %s	%s %s	review needed
potion.withDuration	%s (%s)	%s (%s)	review needed
predicate.unknown	Unknown predicate: %s	Unknown predicate: %s	review needed
quickplay.error.invalid_identifier	Could not find world with the provided identifier	Could not find world with the provided identifier	review needed
quickplay.error.realm_connect	Could not connect to Realm	Could not connect to Realm	review needed
quickplay.error.realm_permission	Lacking permission to connect to this Realm	Lacking permission to connect to this Realm	review needed
quickplay.error.title	Failed to Quick Play	Failed to Quick Play	review needed
realms.configuration.region.australia_east	realms.configuration.region.australia_east	realms.configuration.region.australia_east	review needed
realms.configuration.region.australia_southeast	realms.configuration.region.australia_southeast	realms.configuration.region.australia_southeast	review needed
realms.configuration.region.brazil_south	realms.configuration.region.brazil_south	realms.configuration.region.brazil_south	review needed
realms.configuration.region.central_india	realms.configuration.region.central_india	realms.configuration.region.central_india	review needed
realms.configuration.region.central_us	realms.configuration.region.central_us	realms.configuration.region.central_us	review needed
realms.configuration.region.east_asia	realms.configuration.region.east_asia	realms.configuration.region.east_asia	review needed
realms.configuration.region.east_us	realms.configuration.region.east_us	realms.configuration.region.east_us	review needed
realms.configuration.region.east_us_2	realms.configuration.region.east_us_2	realms.configuration.region.east_us_2	review needed
realms.configuration.region.france_central	realms.configuration.region.france_central	realms.configuration.region.france_central	review needed
realms.configuration.region.japan_east	realms.configuration.region.japan_east	realms.configuration.region.japan_east	review needed
realms.configuration.region.japan_west	realms.configuration.region.japan_west	realms.configuration.region.japan_west	review needed
realms.configuration.region.korea_central	realms.configuration.region.korea_central	realms.configuration.region.korea_central	review needed
realms.configuration.region.north_central_us	realms.configuration.region.north_central_us	realms.configuration.region.north_central_us	review needed
realms.configuration.region.north_europe	realms.configuration.region.north_europe	realms.configuration.region.north_europe	review needed
realms.configuration.region.south_central_us	realms.configuration.region.south_central_us	realms.configuration.region.south_central_us	review needed
realms.configuration.region.southeast_asia	realms.configuration.region.southeast_asia	realms.configuration.region.southeast_asia	review needed
realms.configuration.region.sweden_central	realms.configuration.region.sweden_central	realms.configuration.region.sweden_central	review needed
realms.configuration.region.uae_north	realms.configuration.region.uae_north	realms.configuration.region.uae_north	review needed
realms.configuration.region.uk_south	realms.configuration.region.uk_south	realms.configuration.region.uk_south	review needed
realms.configuration.region.west_central_us	realms.configuration.region.west_central_us	realms.configuration.region.west_central_us	review needed
realms.configuration.region.west_europe	realms.configuration.region.west_europe	realms.configuration.region.west_europe	review needed
realms.configuration.region.west_us	realms.configuration.region.west_us	realms.configuration.region.west_us	review needed
realms.configuration.region.west_us_2	realms.configuration.region.west_us_2	realms.configuration.region.west_us_2	review needed
realms.configuration.region_preference.automatic_owner	realms.configuration.region_preference.automatic_owner	realms.configuration.region_preference.automatic_owner	review needed
realms.configuration.region_preference.automatic_player	realms.configuration.region_preference.automatic_player	realms.configuration.region_preference.automatic_player	review needed
realms.missing.module.error.text	Realms could not be opened right now, please try again later	Realms could not be opened right now, please try again later	review needed
realms.missing.snapshot.error.text	Realms is currently not supported in snapshots	Realms is currently not supported in snapshots	review needed
recipe.notFound	Unknown recipe: %s	Unknown recipe: %s	review needed
