key	en_us	ang	note
minecraft.packet.item.minecraft.smithing_template.netherite_upgrade.applies_to	Diamond Equipment	Diamond Equipment	review needed
minecraft.packet.item.minecraft.smithing_template.netherite_upgrade.base_slot_description	Add diamond armor, weapon, or tool	Add diamond armor, weapon, or tool	review needed
minecraft.packet.item.minecraft.smithing_template.netherite_upgrade.ingredients	Netherite Ingot	Netherite Ingot	review needed
minecraft.packet.item.minecraft.smithing_template.upgrade	Upgrade: 	Upgrade: 	review needed
minecraft.packet.item.minecraft.sniffer_spawn_egg	Sniffer Spawn Egg	Sniffer Spawn Egg	review needed
minecraft.packet.item.minecraft.snort_pottery_shard	Snort Pottery Shard	Snort Pottery Shard	review needed
minecraft.packet.item.minecraft.snort_pottery_sherd	Snort Pottery Sherd	Snort Pottery Sherd	review needed
minecraft.packet.item.minecraft.snow_golem_spawn_egg	Snow Golem Spawn Egg	Snow Golem Spawn Egg	review needed
minecraft.packet.item.minecraft.snowball	Snowball	Snowball	review needed
minecraft.packet.item.minecraft.spectral_arrow	Spectral Arrow	Spectral Arrow	review needed
minecraft.packet.item.minecraft.spider_eye	Spider Eye	Spider Eye	review needed
minecraft.packet.item.minecraft.spider_spawn_egg	Spider Spawn Egg	Spider Spawn Egg	review needed
minecraft.packet.item.minecraft.splash_potion._value	Splash Potion	Splash Potion	review needed
minecraft.packet.item.minecraft.splash_potion.effect.awkward	Awkward Splash Potion	Awkward Splash Potion	review needed
minecraft.packet.item.minecraft.splash_potion.effect.empty	Splash Uncraftable Potion	Splash Uncraftable Potion	review needed
minecraft.packet.item.minecraft.splash_potion.effect.fire_resistance	Splash Potion of Fire Resistance	Splash Potion of Fire Resistance	review needed
minecraft.packet.item.minecraft.splash_potion.effect.harming	Splash Potion of Harming	Splash Potion of Harming	review needed
minecraft.packet.item.minecraft.splash_potion.effect.healing	Splash Potion of Healing	Splash Potion of Healing	review needed
minecraft.packet.item.minecraft.splash_potion.effect.invisibility	Splash Potion of Invisibility	Splash Potion of Invisibility	review needed
minecraft.packet.item.minecraft.splash_potion.effect.leaping	Splash Potion of Leaping	Splash Potion of Leaping	review needed
minecraft.packet.item.minecraft.splash_potion.effect.levitation	Splash Potion of Levitation	Splash Potion of Levitation	review needed
minecraft.packet.item.minecraft.splash_potion.effect.luck	Splash Potion of Luck	Splash Potion of Luck	review needed
minecraft.packet.item.minecraft.splash_potion.effect.mundane	Mundane Splash Potion	Mundane Splash Potion	review needed
minecraft.packet.item.minecraft.splash_potion.effect.night_vision	Splash Potion of Night Vision	Splash Potion of Night Vision	review needed
minecraft.packet.item.minecraft.splash_potion.effect.poison	Splash Potion of Poison	Splash Potion of Poison	review needed
minecraft.packet.item.minecraft.splash_potion.effect.regeneration	Splash Potion of Regeneration	Splash Potion of Regeneration	review needed
minecraft.packet.item.minecraft.splash_potion.effect.slow_falling	Splash Potion of Slow Falling	Splash Potion of Slow Falling	review needed
minecraft.packet.item.minecraft.splash_potion.effect.slowness	Splash Potion of Slowness	Splash Potion of Slowness	review needed
minecraft.packet.item.minecraft.splash_potion.effect.strength	Splash Potion of Strength	Splash Potion of Strength	review needed
minecraft.packet.item.minecraft.splash_potion.effect.swiftness	Splash Potion of Swiftness	Splash Potion of Swiftness	review needed
minecraft.packet.item.minecraft.splash_potion.effect.thick	Thick Splash Potion	Thick Splash Potion	review needed
minecraft.packet.item.minecraft.splash_potion.effect.turtle_master	Splash Potion of the Turtle Master	Splash Potion of the Turtle Master	review needed
minecraft.packet.item.minecraft.splash_potion.effect.water	Splash Water Bottle	Splash Water Bottle	review needed
minecraft.packet.item.minecraft.splash_potion.effect.water_breathing	Splash Potion of Water Breathing	Splash Potion of Water Breathing	review needed
minecraft.packet.item.minecraft.splash_potion.effect.weakness	Splash Potion of Weakness	Splash Potion of Weakness	review needed
minecraft.packet.item.minecraft.spruce_boat	Spruce Boat	Spruce Boat	review needed
minecraft.packet.item.minecraft.spruce_chest_boat	Spruce Boat with Chest	Spruce Boat with Chest	review needed
minecraft.packet.item.minecraft.spyglass	Spyglass	Spyglass	review needed
minecraft.packet.item.minecraft.squid_spawn_egg	Squid Spawn Egg	Squid Spawn Egg	review needed
minecraft.packet.item.minecraft.stick	Stick	Stick	review needed
minecraft.packet.item.minecraft.stone_axe	Stone Axe	Stone Axe	review needed
minecraft.packet.item.minecraft.stone_hoe	Stone Hoe	Stone Hoe	review needed
minecraft.packet.item.minecraft.stone_pickaxe	Stone Pickaxe	Stone Pickaxe	review needed
minecraft.packet.item.minecraft.stone_shovel	Stone Shovel	Stone Shovel	review needed
minecraft.packet.item.minecraft.stone_sword	Stone Sword	Stone Sword	review needed
minecraft.packet.item.minecraft.stray_spawn_egg	Stray Spawn Egg	Stray Spawn Egg	review needed
minecraft.packet.item.minecraft.strider_spawn_egg	Strider Spawn Egg	Strider Spawn Egg	review needed
minecraft.packet.item.minecraft.string	String	String	review needed
minecraft.packet.item.minecraft.sugar	Sugar	Sugar	review needed
minecraft.packet.item.minecraft.suspicious_stew	Suspicious Stew	Suspicious Stew	review needed
minecraft.packet.item.minecraft.sweet_berries	Sweet Berries	Sweet Berries	review needed
minecraft.packet.item.minecraft.tadpole_bucket	Bucket of Tadpole	Bucket of Tadpole	review needed
minecraft.packet.item.minecraft.tadpole_spawn_egg	Tadpole Spawn Egg	Tadpole Spawn Egg	review needed
minecraft.packet.item.minecraft.tipped_arrow._value	Tipped Arrow	Tipped Arrow	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.awkward	Tipped Arrow	Tipped Arrow	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.empty	Uncraftable Tipped Arrow	Uncraftable Tipped Arrow	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.fire_resistance	Arrow of Fire Resistance	Arrow of Fire Resistance	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.harming	Arrow of Harming	Arrow of Harming	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.healing	Arrow of Healing	Arrow of Healing	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.invisibility	Arrow of Invisibility	Arrow of Invisibility	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.leaping	Arrow of Leaping	Arrow of Leaping	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.levitation	Arrow of Levitation	Arrow of Levitation	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.luck	Arrow of Luck	Arrow of Luck	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.mundane	Tipped Arrow	Tipped Arrow	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.night_vision	Arrow of Night Vision	Arrow of Night Vision	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.poison	Arrow of Poison	Arrow of Poison	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.regeneration	Arrow of Regeneration	Arrow of Regeneration	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.slow_falling	Arrow of Slow Falling	Arrow of Slow Falling	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.slowness	Arrow of Slowness	Arrow of Slowness	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.strength	Arrow of Strength	Arrow of Strength	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.swiftness	Arrow of Swiftness	Arrow of Swiftness	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.thick	Tipped Arrow	Tipped Arrow	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.turtle_master	Arrow of the Turtle Master	Arrow of the Turtle Master	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.water	Arrow of Splashing	Arrow of Splashing	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.water_breathing	Arrow of Water Breathing	Arrow of Water Breathing	review needed
minecraft.packet.item.minecraft.tipped_arrow.effect.weakness	Arrow of Weakness	Arrow of Weakness	review needed
minecraft.packet.item.minecraft.tnt_minecart	Minecart with TNT	Minecart with TNT	review needed
minecraft.packet.item.minecraft.torchflower_seeds	Torchflower Seeds	Torchflower Seeds	review needed
minecraft.packet.item.minecraft.totem_of_undying	Totem of Undying	Totem of Undying	review needed
minecraft.packet.item.minecraft.trader_llama_spawn_egg	Trader Llama Spawn Egg	Trader Llama Spawn Egg	review needed
minecraft.packet.item.minecraft.trident	Trident	Trident	review needed
minecraft.packet.item.minecraft.tropical_fish	Tropical Fish	Tropical Fish	review needed
minecraft.packet.item.minecraft.tropical_fish_bucket	Bucket of Tropical Fish	Bucket of Tropical Fish	review needed
minecraft.packet.item.minecraft.tropical_fish_spawn_egg	Tropical Fish Spawn Egg	Tropical Fish Spawn Egg	review needed
minecraft.packet.item.minecraft.turtle_helmet	Turtle Shell	Turtle Shell	review needed
minecraft.packet.item.minecraft.turtle_spawn_egg	Turtle Spawn Egg	Turtle Spawn Egg	review needed
minecraft.packet.item.minecraft.vex_spawn_egg	Vex Spawn Egg	Vex Spawn Egg	review needed
minecraft.packet.item.minecraft.villager_spawn_egg	Villager Spawn Egg	Villager Spawn Egg	review needed
minecraft.packet.item.minecraft.vindicator_spawn_egg	Vindicator Spawn Egg	Vindicator Spawn Egg	review needed
minecraft.packet.item.minecraft.wandering_trader_spawn_egg	Wandering Trader Spawn Egg	Wandering Trader Spawn Egg	review needed
minecraft.packet.item.minecraft.warden_spawn_egg	Warden Spawn Egg	Warden Spawn Egg	review needed
minecraft.packet.item.minecraft.warped_fungus_on_a_stick	Warped Fungus on a Stick	Warped Fungus on a Stick	review needed
minecraft.packet.item.minecraft.water_bucket	Water Bucket	Water Bucket	review needed
minecraft.packet.item.minecraft.wheat	Wheat	Wheat	review needed
minecraft.packet.item.minecraft.wheat_seeds	Wheat Seeds	Wheat Seeds	review needed
minecraft.packet.item.minecraft.white_dye	White Dye	White Dye	review needed
minecraft.packet.item.minecraft.witch_spawn_egg	Witch Spawn Egg	Witch Spawn Egg	review needed
minecraft.packet.item.minecraft.wither_skeleton_spawn_egg	Wither Skeleton Spawn Egg	Wither Skeleton Spawn Egg	review needed
minecraft.packet.item.minecraft.wither_spawn_egg	Wither Spawn Egg	Wither Spawn Egg	review needed
minecraft.packet.item.minecraft.wolf_spawn_egg	Wolf Spawn Egg	Wolf Spawn Egg	review needed
minecraft.packet.item.minecraft.wooden_axe	Wooden Axe	Wooden Axe	review needed
minecraft.packet.item.minecraft.wooden_hoe	Wooden Hoe	Wooden Hoe	review needed
minecraft.packet.item.minecraft.wooden_pickaxe	Wooden Pickaxe	Wooden Pickaxe	review needed
minecraft.packet.item.minecraft.wooden_shovel	Wooden Shovel	Wooden Shovel	review needed
minecraft.packet.item.minecraft.wooden_sword	Wooden Sword	Wooden Sword	review needed
minecraft.packet.item.minecraft.writable_book	Book and Quill	Book and Quill	review needed
minecraft.packet.item.minecraft.written_book	Written Book	Written Book	review needed
minecraft.packet.item.minecraft.yellow_dye	Yellow Dye	Yellow Dye	review needed
minecraft.packet.item.minecraft.zoglin_spawn_egg	Zoglin Spawn Egg	Zoglin Spawn Egg	review needed
minecraft.packet.item.minecraft.zombie_horse_spawn_egg	Zombie Horse Spawn Egg	Zombie Horse Spawn Egg	review needed
minecraft.packet.item.minecraft.zombie_spawn_egg	Zombie Spawn Egg	Zombie Spawn Egg	review needed
minecraft.packet.item.minecraft.zombie_villager_spawn_egg	Zombie Villager Spawn Egg	Zombie Villager Spawn Egg	review needed
minecraft.packet.item.minecraft.zombified_piglin_spawn_egg	Zombified Piglin Spawn Egg	Zombified Piglin Spawn Egg	review needed
minecraft.packet.item_modifier.unknown	Unknown item modifier: %s	Unknown item modifier: %s	review needed
minecraft.packet.jigsaw_block.final_state	Turns into:	Turns into:	review needed
minecraft.packet.jigsaw_block.generate	Generate	Generate	review needed
minecraft.packet.jigsaw_block.joint.aligned	Aligned	Aligned	review needed
minecraft.packet.jigsaw_block.joint.rollable	Rollable	Rollable	review needed
minecraft.packet.jigsaw_block.joint_label	Joint Type:	Joint Type:	review needed
minecraft.packet.jigsaw_block.keep_jigsaws	Keep Jigsaws	Keep Jigsaws	review needed
minecraft.packet.jigsaw_block.levels	Levels: %s	Levels: %s	review needed
minecraft.packet.jigsaw_block.name	Name:	Name:	review needed
minecraft.packet.jigsaw_block.pool	Target Pool:	Target Pool:	review needed
minecraft.packet.jigsaw_block.target	Target Name:	Target Name:	review needed
minecraft.packet.lectern.take_book	Take Book	Take Book	review needed
minecraft.packet.menu.convertingLevel	Converting world	Converting world	review needed
minecraft.packet.menu.disconnect	Disconnect	Disconnect	review needed
minecraft.packet.menu.game	Game Menu	Game Menu	review needed
minecraft.packet.menu.generatingLevel	Generating world	Generating world	review needed
minecraft.packet.menu.generatingTerrain	Building terrain	Building terrain	review needed
minecraft.packet.menu.loadingForcedChunks	Loading forced chunks for dimension %s	Loading forced chunks for dimension %s	review needed
minecraft.packet.menu.loadingLevel	Loading world	Loading world	review needed
minecraft.packet.menu.modded	(Modded)	(Modded)	review needed
minecraft.packet.menu.multiplayer	Multiplayer	Multiplayer	review needed
minecraft.packet.menu.online	Minecraft Realms	Minecraft Realms	review needed
minecraft.packet.menu.options	Options...	Options...	review needed
minecraft.packet.menu.paused	Game Paused	Game Paused	review needed
minecraft.packet.menu.playdemo	Play Demo World	Play Demo World	review needed
minecraft.packet.menu.playerReporting	Player Reporting	Player Reporting	review needed
minecraft.packet.menu.preparingSpawn	Preparing spawn area: %s%%	Preparing spawn area: %s%%	review needed
minecraft.packet.menu.quit	Quit Game	Quit Game	review needed
minecraft.packet.menu.reportBugs	Report Bugs	Report Bugs	review needed
minecraft.packet.menu.resetdemo	Reset Demo World	Reset Demo World	review needed
minecraft.packet.menu.respawning	Respawning	Respawning	review needed
minecraft.packet.menu.returnToGame	Back to Game	Back to Game	review needed
minecraft.packet.menu.returnToMenu	Save and Quit to Title	Save and Quit to Title	review needed
minecraft.packet.menu.savingChunks	Saving chunks	Saving chunks	review needed
minecraft.packet.menu.savingLevel	Saving world	Saving world	review needed
minecraft.packet.menu.sendFeedback	Give Feedback	Give Feedback	review needed
minecraft.packet.menu.shareToLan	Open to LAN	Open to LAN	review needed
minecraft.packet.menu.singleplayer	Singleplayer	Singleplayer	review needed
minecraft.packet.menu.working	Working...	Working...	review needed
minecraft.packet.merchant.current_level	Trader's current level	Trader's current level	review needed
minecraft.packet.merchant.deprecated	Villagers restock up to two times per day.	Villagers restock up to two times per day.	review needed
minecraft.packet.merchant.level.1	Novice	Novice	review needed
minecraft.packet.merchant.level.2	Apprentice	Apprentice	review needed
minecraft.packet.merchant.level.3	Journeyman	Journeyman	review needed
minecraft.packet.merchant.level.4	Expert	Expert	review needed
minecraft.packet.merchant.level.5	Master	Master	review needed
minecraft.packet.merchant.next_level	Trader's next level	Trader's next level	review needed
minecraft.packet.merchant.trades	Trades	Trades	review needed
minecraft.packet.mirror.front_back	↑ ↓	↑ ↓	review needed
minecraft.packet.mirror.left_right	← →	← →	review needed
minecraft.packet.mirror.none	|	|	review needed
minecraft.packet.mount.onboard	Press %1$s to Dismount	Press %1$s to Dismount	review needed
minecraft.packet.multiplayer.applyingPack	Applying resource pack	Applying resource pack	review needed
minecraft.packet.multiplayer.disconnect.authservers_down	Authentication servers are down. Please try again later, sorry!	Authentication servers are down. Please try again later, sorry!	review needed
minecraft.packet.multiplayer.disconnect.banned._value	You are banned from this server	You are banned from this server	review needed
minecraft.packet.multiplayer.disconnect.banned.expiration	"
Your ban will be removed on %s"	"
Your ban will be removed on %s"	review needed
minecraft.packet.multiplayer.disconnect.banned.reason	"You are banned from this server.
Reason: %s"	"You are banned from this server.
Reason: %s"	review needed
minecraft.packet.multiplayer.disconnect.banned_ip.expiration	"
Your ban will be removed on %s"	"
Your ban will be removed on %s"	review needed
minecraft.packet.multiplayer.disconnect.banned_ip.reason	"Your IP address is banned from this server.
Reason: %s"	"Your IP address is banned from this server.
Reason: %s"	review needed
minecraft.packet.multiplayer.disconnect.chat_validation_failed	Chat message validation failure	Chat message validation failure	review needed
minecraft.packet.multiplayer.disconnect.duplicate_login	You logged in from another location	You logged in from another location	review needed
minecraft.packet.multiplayer.disconnect.expired_public_key	Expired profile public key. Check that your system time is synchronized, and try restarting your game.	Expired profile public key. Check that your system time is synchronized, and try restarting your game.	review needed
minecraft.packet.multiplayer.disconnect.flying	Flying is not enabled on this server	Flying is not enabled on this server	review needed
minecraft.packet.multiplayer.disconnect.generic	Disconnected	Disconnected	review needed
minecraft.packet.multiplayer.disconnect.idling	You have been idle for too long!	You have been idle for too long!	review needed
minecraft.packet.multiplayer.disconnect.illegal_characters	Illegal characters in chat	Illegal characters in chat	review needed
minecraft.packet.multiplayer.disconnect.incompatible	Incompatible client! Please use %s	Incompatible client! Please use %s	review needed
minecraft.packet.multiplayer.disconnect.invalid_entity_attacked	Attempting to attack an invalid entity	Attempting to attack an invalid entity	review needed
minecraft.packet.multiplayer.disconnect.invalid_packet	Server sent an invalid packet	Server sent an invalid packet	review needed
minecraft.packet.multiplayer.disconnect.invalid_player_data	Invalid player data	Invalid player data	review needed
minecraft.packet.multiplayer.disconnect.invalid_player_movement	Invalid move player packet received	Invalid move player packet received	review needed
minecraft.packet.multiplayer.disconnect.invalid_public_key_signature._value	"Invalid signature for profile public key.
Try restarting your game."	"Invalid signature for profile public key.
Try restarting your game."	review needed
minecraft.packet.multiplayer.disconnect.invalid_public_key_signature.new	"Invalid signature for profile public key.
Try restarting your game."	"Invalid signature for profile public key.
Try restarting your game."	review needed
minecraft.packet.multiplayer.disconnect.invalid_vehicle_movement	Invalid move vehicle packet received	Invalid move vehicle packet received	review needed
minecraft.packet.multiplayer.disconnect.ip_banned	You have been IP banned from this server	You have been IP banned from this server	review needed
minecraft.packet.multiplayer.disconnect.kicked	Kicked by an operator	Kicked by an operator	review needed
minecraft.packet.multiplayer.disconnect.missing_tags	"Incomplete set of tags received from server.
Please contact server operator."	"Incomplete set of tags received from server.
Please contact server operator."	review needed
minecraft.packet.multiplayer.disconnect.name_taken	That name is already taken	That name is already taken	review needed
minecraft.packet.multiplayer.disconnect.not_whitelisted	You are not white-listed on this server!	You are not white-listed on this server!	review needed
minecraft.packet.multiplayer.disconnect.out_of_order_chat	Out-of-order chat packet received. Did your system time change?	Out-of-order chat packet received. Did your system time change?	review needed
minecraft.packet.multiplayer.disconnect.outdated_client	Incompatible client! Please use %s	Incompatible client! Please use %s	review needed
minecraft.packet.multiplayer.disconnect.outdated_server	Incompatible client! Please use %s	Incompatible client! Please use %s	review needed
minecraft.packet.multiplayer.disconnect.server_full	The server is full!	The server is full!	review needed
minecraft.packet.multiplayer.disconnect.server_shutdown	Server closed	Server closed	review needed
minecraft.packet.multiplayer.disconnect.slow_login	Took too long to log in	Took too long to log in	review needed
minecraft.packet.multiplayer.disconnect.too_many_pending_chats	Too many unacknowledged chat messages	Too many unacknowledged chat messages	review needed
minecraft.packet.multiplayer.disconnect.unexpected_query_response	Unexpected custom data from client	Unexpected custom data from client	review needed
minecraft.packet.multiplayer.disconnect.unsigned_chat	Received chat packet with missing or invalid signature.	Received chat packet with missing or invalid signature.	review needed
minecraft.packet.multiplayer.disconnect.unverified_username	Failed to verify username!	Failed to verify username!	review needed
minecraft.packet.multiplayer.downloadingStats	Retrieving statistics...	Retrieving statistics...	review needed
minecraft.packet.multiplayer.downloadingTerrain	Loading terrain...	Loading terrain...	review needed
minecraft.packet.multiplayer.lan.server_found	New server found: %s	New server found: %s	review needed
minecraft.packet.multiplayer.message_not_delivered	Can't deliver chat message, check server logs: %s	Can't deliver chat message, check server logs: %s	review needed
minecraft.packet.multiplayer.player.joined._value	%s joined the game	%s joined the game	review needed
minecraft.packet.multiplayer.player.joined.renamed	%s (formerly known as %s) joined the game	%s (formerly known as %s) joined the game	review needed
minecraft.packet.multiplayer.player.left	{arg0} left the game	{arg0} left the game	review needed
minecraft.packet.multiplayer.player.list.narration	Online players: %s	Online players: %s	review needed
minecraft.packet.multiplayer.requiredTexturePrompt.disconnect	Server requires a custom resource pack	Server requires a custom resource pack	review needed
minecraft.packet.multiplayer.requiredTexturePrompt.line1	This server requires the use of a custom resource pack.	This server requires the use of a custom resource pack.	review needed
minecraft.packet.multiplayer.requiredTexturePrompt.line2	Rejecting this custom resource pack will disconnect you from this server.	Rejecting this custom resource pack will disconnect you from this server.	review needed
minecraft.packet.multiplayer.socialInteractions.not_available	Social Interactions are only available in Multiplayer worlds	Social Interactions are only available in Multiplayer worlds	review needed
minecraft.packet.multiplayer.status.and_more	... and %s more ...	... and %s more ...	review needed
minecraft.packet.multiplayer.status.cancelled	Cancelled	Cancelled	review needed
minecraft.packet.multiplayer.status.cannot_connect	Can't connect to server	Can't connect to server	review needed
minecraft.packet.multiplayer.status.cannot_resolve	Can't resolve hostname	Can't resolve hostname	review needed
minecraft.packet.multiplayer.status.finished	Finished	Finished	review needed
minecraft.packet.multiplayer.status.incompatible	Incompatible version!	Incompatible version!	review needed
minecraft.packet.multiplayer.status.motd.narration	Message of the day: %s	Message of the day: %s	review needed
minecraft.packet.multiplayer.status.no_connection	(no connection)	(no connection)	review needed
minecraft.packet.multiplayer.status.old	Old	Old	review needed
minecraft.packet.multiplayer.status.online	Online	Online	review needed
minecraft.packet.multiplayer.status.ping._value	%s ms	%s ms	review needed
minecraft.packet.multiplayer.status.ping.narration	Ping %s milliseconds	Ping %s milliseconds	review needed
minecraft.packet.multiplayer.status.pinging	Pinging...	Pinging...	review needed
minecraft.packet.multiplayer.status.player_count.narration	%s out of %s players online	%s out of %s players online	review needed
minecraft.packet.multiplayer.status.quitting	Quitting	Quitting	review needed
minecraft.packet.multiplayer.status.request_handled	Status request has been handled	Status request has been handled	review needed
minecraft.packet.multiplayer.status.unknown	???	???	review needed
minecraft.packet.multiplayer.status.unrequested	Received unrequested status	Received unrequested status	review needed
minecraft.packet.multiplayer.status.version.narration	Server version: %s	Server version: %s	review needed
minecraft.packet.multiplayer.stopSleeping	Leave Bed	Leave Bed	review needed
minecraft.packet.multiplayer.texturePrompt.failure.line1	Server resource pack couldn't be applied	Server resource pack couldn't be applied	review needed
minecraft.packet.multiplayer.texturePrompt.failure.line2	Any functionality that requires custom resources might not work as expected	Any functionality that requires custom resources might not work as expected	review needed
minecraft.packet.multiplayer.texturePrompt.line1	This server recommends the use of a custom resource pack.	This server recommends the use of a custom resource pack.	review needed
minecraft.packet.multiplayer.texturePrompt.line2	Would you like to download and install it automagically?	Would you like to download and install it automagically?	review needed
minecraft.packet.multiplayer.texturePrompt.serverPrompt	"%s

Message from server:
%s"	"%s

Message from server:
%s"	review needed
minecraft.packet.multiplayer.title	Play Multiplayer	Play Multiplayer	review needed
minecraft.packet.multiplayer.unsecureserver.toast._value	Messages sent on this server may be modified and might not reflect the original message	Messages sent on this server may be modified and might not reflect the original message	review needed
minecraft.packet.multiplayer.unsecureserver.toast.title	Chat messages can't be verified	Chat messages can't be verified	review needed
minecraft.packet.pack.available.title	Available	Available	review needed
minecraft.packet.pack.copyFailure	Failed to copy packs	Failed to copy packs	review needed
minecraft.packet.pack.dropConfirm	Do you want to add the following packs to Minecraft?	Do you want to add the following packs to Minecraft?	review needed
minecraft.packet.pack.dropInfo	Drag and drop files into this window to add packs	Drag and drop files into this window to add packs	review needed
minecraft.packet.pack.folderInfo	(Place pack files here)	(Place pack files here)	review needed
minecraft.packet.pack.incompatible._value	Incompatible	Incompatible	review needed
minecraft.packet.pack.incompatible.confirm.new	This pack was made for a newer version of Minecraft and may not work correctly.	This pack was made for a newer version of Minecraft and may not work correctly.	review needed
minecraft.packet.pack.incompatible.confirm.old	This pack was made for an older version of Minecraft and may no longer work correctly.	This pack was made for an older version of Minecraft and may no longer work correctly.	review needed
minecraft.packet.pack.incompatible.confirm.title	Are you sure you want to load this pack?	Are you sure you want to load this pack?	review needed
minecraft.packet.pack.incompatible.new	(Made for a newer version of Minecraft)	(Made for a newer version of Minecraft)	review needed
minecraft.packet.pack.incompatible.old	(Made for an older version of Minecraft)	(Made for an older version of Minecraft)	review needed
minecraft.packet.pack.nameAndSource	%s (%s)	%s (%s)	review needed
minecraft.packet.pack.openFolder	Open Pack Folder	Open Pack Folder	review needed
minecraft.packet.pack.selected.title	Selected	Selected	review needed
minecraft.packet.pack.source.builtin	built-in	built-in	review needed
minecraft.packet.pack.source.feature	feature	feature	review needed
minecraft.packet.pack.source.local	local	local	review needed
minecraft.packet.pack.source.server	server	server	review needed
minecraft.packet.pack.source.world	world	world	review needed
minecraft.packet.painting.dimensions	%sx%s	%sx%s	review needed
minecraft.packet.painting.minecraft.alban.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.alban.title	Albanian	Albanian	review needed
minecraft.packet.painting.minecraft.aztec.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.aztec.title	de_aztec	de_aztec	review needed
minecraft.packet.painting.minecraft.aztec2.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.aztec2.title	de_aztec	de_aztec	review needed
minecraft.packet.painting.minecraft.bomb.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.bomb.title	Target Successfully Bombed	Target Successfully Bombed	review needed
minecraft.packet.painting.minecraft.burning_skull.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.burning_skull.title	Skull On Fire	Skull On Fire	review needed
minecraft.packet.painting.minecraft.bust.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.bust.title	Bust	Bust	review needed
minecraft.packet.painting.minecraft.courbet.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.courbet.title	Bonjour Monsieur Courbet	Bonjour Monsieur Courbet	review needed
minecraft.packet.painting.minecraft.creebet.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.creebet.title	Creebet	Creebet	review needed
minecraft.packet.painting.minecraft.donkey_kong.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.donkey_kong.title	Kong	Kong	review needed
minecraft.packet.painting.minecraft.earth.author	Mojang	Mojang	review needed
minecraft.packet.painting.minecraft.earth.title	Earth	Earth	review needed
minecraft.packet.painting.minecraft.fighters.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.fighters.title	Fighters	Fighters	review needed
minecraft.packet.painting.minecraft.fire.author	Mojang	Mojang	review needed
minecraft.packet.painting.minecraft.fire.title	Fire	Fire	review needed
minecraft.packet.painting.minecraft.graham.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.graham.title	Graham	Graham	review needed
minecraft.packet.painting.minecraft.kebab.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.kebab.title	Kebab med tre pepperoni	Kebab med tre pepperoni	review needed
minecraft.packet.painting.minecraft.match.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.match.title	Match	Match	review needed
minecraft.packet.painting.minecraft.pigscene.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.pigscene.title	Pigscene	Pigscene	review needed
minecraft.packet.painting.minecraft.plant.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.plant.title	Paradisträd	Paradisträd	review needed
minecraft.packet.painting.minecraft.pointer.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.pointer.title	Pointer	Pointer	review needed
